SKU,WSlink,ThrLink,multiurl,multipack quantity,DeliveryPriceTHR90001,DeliveryPriceWS10001,DeliveryPriceTHR10001,DeliveryPriceWS90001,asin,item-name,price,estimated-referral-fee-per-item
THR-CAGE-0001_green,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-24-x-60-x-69/460GSC2460KM.html,https://www.therestaurantstore.com/items/199469,No,,0,0,0,0,B09N9WMY47,"Krollen Industrial NSF Mobile Wire Green Security Cage Kit - 24"" x 60"" x 69"" - Mesh Locked Storage Cage - Commercial Steel Cage with Lockable Doors with 4 Metal Shelves and Rolling Wheels",739.99,111.0
THR-CAGE-0002_green,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-24-x-48-x-69/460GSC2448KM.html,https://www.therestaurantstore.com/items/199449,No,,0,0,0,0,B09N9VFTBZ,"Krollen Industrial NSF Mobile Wire Green Security Cage Kit - 24"" x 48"" x 69"" - Mesh Locked Storage Cage - Commercial Steel Cage with Lockable Doors with 4 Metal Shelves and Rolling Wheels",599.99,90.0
THR-CAGE-0002_chrome,https://www.webstaurantstore.com/regency-nsf-mobile-chrome-wire-security-cage-kit-24-x-48-x-69/460CSC2448KM.html,https://www.therestaurantstore.com/items/199454,No,,0,0,0,0,B09N9X933P,"Krollen Industrial NSF Mobile Wire Chrome Security Cage Kit - 24"" x 48"" x 69"" - Mesh Locked Storage Cage - Commercial Steel Cage with Lockable Doors with 4 Metal Shelves and Rolling Wheels",629.99,94.5
THR-CAGE-0003_green,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-18-x-48-x-69/460GSC1848KM.html,https://www.therestaurantstore.com/items/199451,No,,0,0,0,0,B09N9WGXQP,"Krollen Industrial NSF Mobile Wire Green Security Cage Kit - 18"" x 48"" x 69"" - Mesh Locked Storage Cage - Commercial Steel Cage with Lockable Doors with 4 Metal Shelves and Rolling Wheels",619.99,93.0
THR-CAGE-0003_chrome,https://www.webstaurantstore.com/regency-nsf-mobile-chrome-wire-security-cage-kit-18-x-48-x-69/460CSC1848KM.html,https://www.therestaurantstore.com/items/199371,No,,0,0,0,0,B09N9WCK7M,"Krollen Industrial NSF Mobile Wire Chrome Security Cage Kit - 18"" x 48"" x 69"" - Mesh Locked Storage Cage - Commercial Steel Cage with Lockable Doors with 4 Metal Shelves and Rolling Wheels",649.99,97.5
THR-CAGE-0004_green,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-18-x-36-x-69/460GSC1836KM.html,https://www.therestaurantstore.com/items/199397,No,,0,0,0,0,B09N9V8YQY,"Krollen Industrial NSF Mobile Wire Green Security Cage Kit - 18"" x 36"" x 69"" - Mesh Locked Storage Cage - Commercial Steel Cage with Lockable Doors with 4 Metal Shelves and Rolling Wheels",519.99,78.0
THR-CAGE-0004_chrome,https://www.webstaurantstore.com/regency-nsf-mobile-chrome-wire-security-cage-kit-18-x-36-x-69/460CSC1836KM.html,https://www.therestaurantstore.com/items/199386,No,,0,0,0,0,B09N9W3V6G,"Krollen Industrial NSF Mobile Wire Chrome Security Cage Kit - 18"" x 36"" x 69"" - Mesh Locked Storage Cage - Commercial Steel Cage with Lockable Doors with 4 Metal Shelves and Rolling Wheels",519.99,78.0
THR-CAGE-0005_green,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-24-x-36-x-69/460GSC2436KM.html,https://www.therestaurantstore.com/items/199467,No,,0,0,0,0,B09N9XGPCX,"Krollen Industrial NSF Mobile Wire Green Security Cage Kit - 24"" x 36"" x 69"" - Mesh Locked Storage Cage - Commercial Steel Cage with Lockable Doors with 4 Metal Shelves and Rolling Wheels",579.99,87.0
THR-CAGE-0005_chrome,https://www.webstaurantstore.com/regency-nsf-mobile-chrome-wire-security-cage-kit-24-x-36-x-69/460CSC2436KM.html,https://www.therestaurantstore.com/items/199446,No,,0,0,0,0,B09N9WSDJN,"Krollen Industrial NSF Mobile Wire Chrome Security Cage Kit - 24"" x 36"" x 69"" - Mesh Locked Storage Cage - Commercial Steel Cage with Lockable Doors with 4 Metal Shelves and Rolling Wheels",609.99,91.5
THR-CAGE-0006_green,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-18-x-60-x-69/460GSC1860KM.html,https://www.therestaurantstore.com/items/199432,No,,0,0,0,0,B09N9X9J9Z,"Krollen Industrial NSF Mobile Wire Green Security Cage Kit - 18"" x 60"" x 69"" - Mesh Locked Storage Cage - Commercial Steel Cage with Lockable Doors with 4 Metal Shelves and Rolling Wheels",669.99,100.5
