SKU,WSlink,ThrLink,multiurl,multipack quantity,DeliveryPriceTHR90001,DeliveryPriceWS10001,DeliveryPriceTHR10001,DeliveryPriceWS90001
THR-CAGE-0001_green,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-24-x-60-x-69/460GSC2460KM.html,https://www.therestaurantstore.com/items/199469,No,,0,0,0,0
THR-CAGE-0001_chrome,https://www.webstaurantstore.com/regency-nsf-mobile-chrome-wire-security-cage-kit-24-x-60-x-69/460CSC2460KM.html,https://www.therestaurantstore.com/items/199468,No,,0,0,0,0
THR-CAGE-0002_green,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-24-x-48-x-69/460GSC2448KM.html,https://www.therestaurantstore.com/items/199449,No,,0,0,0,0
THR-CAGE-0002_chrome,https://www.webstaurantstore.com/regency-nsf-mobile-chrome-wire-security-cage-kit-24-x-48-x-69/460CSC2448KM.html,https://www.therestaurantstore.com/items/199454,No,,0,0,0,0
THR-CAGE-0003_green,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-18-x-48-x-69/460GSC1848KM.html,https://www.therestaurantstore.com/items/199451,No,,0,0,0,0
THR-CAGE-0003_chrome,https://www.webstaurantstore.com/regency-nsf-mobile-chrome-wire-security-cage-kit-18-x-48-x-69/460CSC1848KM.html,https://www.therestaurantstore.com/items/199371,No,,0,0,0,0
THR-CAGE-0004_green,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-18-x-36-x-69/460GSC1836KM.html,https://www.therestaurantstore.com/items/199397,No,,0,0,0,0
THR-CAGE-0004_chrome,https://www.webstaurantstore.com/regency-nsf-mobile-chrome-wire-security-cage-kit-18-x-36-x-69/460CSC1836KM.html,https://www.therestaurantstore.com/items/199386,No,,0,0,0,0
THR-CAGE-0005_green,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-24-x-36-x-69/460GSC2436KM.html,https://www.therestaurantstore.com/items/199467,No,,0,0,0,0
THR-CAGE-0005_chrome,https://www.webstaurantstore.com/regency-nsf-mobile-chrome-wire-security-cage-kit-24-x-36-x-69/460CSC2436KM.html,https://www.therestaurantstore.com/items/199446,No,,0,0,0,0
THR-CAGE-0006_green,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-18-x-60-x-69/460GSC1860KM.html,https://www.therestaurantstore.com/items/199432,No,,0,0,0,0
THR-CAGE-0006_chrome,https://www.webstaurantstore.com/regency-nsf-mobile-chrome-wire-security-cage-kit-18-x-60-x-69/460CSC1860KM.html,https://www.therestaurantstore.com/items/199427,No,,0,0,0,0
THR-CAGE-0007_green,https://www.webstaurantstore.com/regency-nsf-stationary-green-wire-security-cage-kit-24-x-48-x-74/460GSC2448KS.html,https://www.therestaurantstore.com/items/199319,No,,0,0,0,0
THR-CAGE-0007_chrome,https://www.webstaurantstore.com/regency-nsf-stationary-chrome-wire-security-cage-kit-24-x-48-x-74/460CSC2448KS.html,https://www.therestaurantstore.com/items/199303,No,,0,0,0,0
THR-CAGE-0008_green,https://www.webstaurantstore.com/regency-nsf-stationary-green-wire-security-cage-kit-24-x-60-x-74/460GSC2460KS.html,https://www.therestaurantstore.com/items/199370,No,,0,0,0,0
THR-CAGE-0008_chrome,https://www.webstaurantstore.com/regency-nsf-stationary-chrome-wire-security-cage-kit-24-x-60-x-74/460CSC2460KS.html,https://www.therestaurantstore.com/items/199321,No,,0,0,0,0
THR-CAGE-0009_green,https://www.webstaurantstore.com/regency-nsf-stationary-green-wire-security-cage-kit-18-x-36-x-74/460GSC1836KS.html,https://www.therestaurantstore.com/items/199354,No,,0,0,0,0
THR-CAGE-0009_chrome,https://www.webstaurantstore.com/regency-nsf-stationary-chrome-wire-security-cage-kit-18-x-36-x-74/460CSC1836KS.html,https://www.therestaurantstore.com/items/199357,No,,0,0,0,0
THR-CAGE-0010_green,https://www.webstaurantstore.com/regency-nsf-stationary-green-wire-security-cage-kit-18-x-48-x-74/460GSC1848KS.html,https://www.therestaurantstore.com/items/199351,No,,0,0,0,0
THR-CAGE-0010_chrome,https://www.webstaurantstore.com/regency-nsf-stationary-chrome-wire-security-cage-kit-18-x-48-x-74/460CSC1848KS.html,https://www.therestaurantstore.com/items/199307,No,,0,0,0,0
THR-CAGE-0011_green,https://www.webstaurantstore.com/regency-nsf-stationary-green-wire-security-cage-kit-24-x-36-x-74/460GSC2436KS.html,https://www.therestaurantstore.com/items/199365,No,,0,0,0,0
THR-CAGE-0011_chrome,https://www.webstaurantstore.com/regency-nsf-stationary-chrome-wire-security-cage-kit-24-x-36-x-74/460CSC2436KS.html,https://www.therestaurantstore.com/items/199360,No,,0,0,0,0
THR-CAGE-0012_green,https://www.webstaurantstore.com/regency-nsf-stationary-green-wire-security-cage-kit-18-x-60-x-74/460GSC1860KS.html,https://www.therestaurantstore.com/items/199350,No,,0,0,0,0
THR-CAGE-0012_chrome,https://www.webstaurantstore.com/regency-nsf-stationary-chrome-wire-security-cage-kit-18-x-60-x-74/460CSC1860KS.html,https://www.therestaurantstore.com/items/199347,No,,0,0,0,0
THR-CAGE-0013_green,https://www.webstaurantstore.com/regency-nsf-green-wire-security-cage-24-x-60-x-61/460EGSC2460.html,https://www.therestaurantstore.com/items/195781,No,,0,0,0,0
THR-CAGE-0013_chrome,https://www.webstaurantstore.com/regency-nsf-chrome-wire-security-cage-24-x-60-x-61/460ECSC2460.html,https://www.therestaurantstore.com/items/195849,No,,0,0,0,0
THR-CAGE-0014_green,https://www.webstaurantstore.com/regency-nsf-green-wire-security-cage-24-x-48-x-61/460EGSC2448.html,https://www.therestaurantstore.com/items/195804,No,,0,0,0,0
