ASIN,SKU,Name,ThrLink,WSlink,PricingStrategy,BasicHndlingTime,Price,DeliveryPriceTHR10001,DeliveryPriceWS10001,DeliveryPriceTHR90001,DeliveryPriceWS90001,ThresholdForMedianHTCalculation,OrdersCount,UnitsSoldCount,ReturnsCount,AZCount,ItemNumber,StockAviability,FreeShippingWithPlus,estimated_referral_fee
B0B4B823VJ,THR-TRASH-CAN_19_black,Krollen Industrial 19 Gallon Black Square Commercial Trash Can,https://www.therestaurantstore.com/items/569395,https://www.webstaurantstore.com/wastecan-19-gal-square-bl/475SQ19BK.html,,3,,,,,,10,,,,,,,,21
B0B4B6TNQ8,THR-TRASH-CAN_19_black_lid,Krollen Industrial 19 Gallon Black Square Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/569347,https://www.webstaurantstore.com/lid-swing-19-23-gal-squar/475SQLD23BK.html,,3,,,,,,10,,,,,,,,21
B0B4B88H49,THR-TRASH-CAN_19_blue,Krollen Industrial 19 Gallon Blue Square Commercial Trash Can,https://www.therestaurantstore.com/items/569396,https://www.webstaurantstore.com/wastecan-19-gal-square-bl/475SQ19BLREC.html,,3,,,,,,10,,,,,,,,21
B0B4B6Y5Z5,THR-TRASH-CAN_19_blue_lid,Krollen Industrial 19 Gallon Blue Square Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/569431,https://www.webstaurantstore.com/lid-swing-19-23-gal-squar/475SQLD23BL.html,,3,,,,,,10,,,,,,,,21
B0B4B7DNGN,THR-TRASH-CAN_19_grey,Krollen Industrial 19 Gallon Grey Square Commercial Trash Can,https://www.therestaurantstore.com/items/569348,https://www.webstaurantstore.com/wastecan-19-gal-square-gr/475SQ19GY.html,,3,,,,,,10,,,,,,,,21
B0B4B7QPFN,THR-TRASH-CAN_19_grey_lid,Krollen Industrial 19 Gallon Grey Square Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/569366,https://www.webstaurantstore.com/lid-swing-19-23-gal-squar/475SQLD23GY.html,,3,,,,,,10,,,,,,,,21
B0B4WH12T7,THR-TRASH-CAN_20_black,Krollen Industrial 20 Gallon Black Round Commercial Trash Can,https://www.therestaurantstore.com/items/452484,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-black-round-commercial-trash-can/475TCRND20BK.html,,3,,,,,,10,,,,,,,,21
B0B4WJJV4L,THR-TRASH-CAN_20_black_lid,Krollen Industrial 20 Gallon Black Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/453168,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-black-round-commercial-trash-can-and-lid/475TCL20BKKT.html,,3,,,,,,10,,,,,,,,21
B0B4WHBC7H,THR-TRASH-CAN_20_black_lid_dolly,Krollen Industrial 20 Gallon Black Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452877,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-black-round-commercial-trash-can-with-lid-and-dolly/475TC20BKKIT.html,,3,,,,,,10,,,,,,,,21
B0B4WHXM8W,THR-TRASH-CAN_20_blue,Krollen Industrial 20 Gallon Blue Round Commercial Trash Can,https://www.therestaurantstore.com/items/452550,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-blue-round-commercial-trash-can/475TCRND20BL.html,,3,,,,,,10,,,,,,,,21
B0B4WH2VSZ,THR-TRASH-CAN_20_blue_lid,Krollen Industrial 20 Gallon Blue Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/452938,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-blue-round-commercial-trash-can-and-lid/475TCL20BLKT.html,,3,,,,,,10,,,,,,,,21
B0B4WK5TZ1,THR-TRASH-CAN_20_blue_lid_dolly,Krollen Industrial 20 Gallon Blue Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452726,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-blue-round-commercial-trash-can-with-lid-and-dolly/475TC20BLKIT.html,,3,,,,,,10,,,,,,,,
B0B4WJHHLP,THR-TRASH-CAN_20_brown,Krollen Industrial 20 Gallon Brown Round Commercial Trash Can,https://www.therestaurantstore.com/items/452581,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-brown-round-commercial-trash-can/475TCRND20BR.html,,3,,,,,,10,,,,,,,,
B0B4WKXGMR,THR-TRASH-CAN_20_brown_lid,Krollen Industrial 20 Gallon Brown Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/453092,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-brown-round-commercial-trash-can-and-lid/475TCL20BRKT.html,,3,,,,,,10,,,,,,,,
B0B4WGM5MY,THR-TRASH-CAN_20_brown_lid_dolly,Krollen Industrial 20 Gallon Brown Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452619,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-brown-round-commercial-trash-can-with-lid-and-dolly/475TC20BRKIT.html,,3,,,,,,10,,,,,,,,
B0B4WGCTRC,THR-TRASH-CAN_20_green,Krollen Industrial 20 Gallon Green Round Commercial Trash Can,https://www.therestaurantstore.com/items/452569,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-green-round-commercial-trash-can/475TCRND20GN.html,,3,,,,,,10,,,,,,,,
